Glasses_title,Glasses_url,Glasses_img_url,Glasses_price,Count,Next_page
Taurus,https://www.glassesshop.com/eyeglasses/fp2043,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",$24.95,1,https://www.glassesshop.com/bestsellers?page=2
Oberlin,https://www.glassesshop.com/eyeglasses/fp2032,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e28f5edb550c.jpg",$19.95,2,https://www.glassesshop.com/bestsellers?page=2
Derrick,https://www.glassesshop.com/eyeglasses/fp1661,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5af16009d7b28.jpg",$24.95,3,https://www.glassesshop.com/bestsellers?page=2
Dubois,https://www.glassesshop.com/eyeglasses/ft0326,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d180867511.jpg",$49.95,4,https://www.glassesshop.com/bestsellers?page=2
Maltz,https://www.glassesshop.com/eyeglasses/fz1370,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201907/5d268bd88f69a.jpg",$29.95,5,https://www.glassesshop.com/bestsellers?page=2
Celia,https://www.glassesshop.com/eyeglasses/fm1387,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d031896311f6.jpg",$19.95,6,https://www.glassesshop.com/bestsellers?page=2
Whit,https://www.glassesshop.com/eyeglasses/ft0301,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4e8531f.jpg",$59.95,7,https://www.glassesshop.com/bestsellers?page=2
Hume,https://www.glassesshop.com/eyeglasses/fz1297,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881a8fe.jpg",$29.95,8,https://www.glassesshop.com/bestsellers?page=2
Genevieve,https://www.glassesshop.com/eyeglasses/fz1268,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc509cc7c07.jpg",$34.95,9,https://www.glassesshop.com/bestsellers?page=2
Vivian,https://www.glassesshop.com/eyeglasses/fz1250,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc4f0f37405.jpg",$29.95,10,https://www.glassesshop.com/bestsellers?page=2
Rochester,https://www.glassesshop.com/eyeglasses/fm1263,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg",$29.95,11,https://www.glassesshop.com/bestsellers?page=2
Poppy,https://www.glassesshop.com/eyeglasses/fz1032,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5ebb49bb32ac9.jpg",$19.95,12,https://www.glassesshop.com/bestsellers?page=2
Fresno,https://www.glassesshop.com/eyeglasses/fp2038,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f71e127e.jpg",$12.95,13,https://www.glassesshop.com/bestsellers?page=2
Asheville,https://www.glassesshop.com/eyeglasses/fp1990,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ff9e0a3ca8.jpg",$12.95,14,https://www.glassesshop.com/bestsellers?page=2
